Player Id,Year,Team,Side
2540178,2013,KC,Offense
2534761,2013,JAX,Defense
2506352,2013,CAR,Defense
2495826,2013,SF,Offense
79901,2013,IND,Defense
2540217,2013,MIA,Defense
2533043,2013,PIT,Offense
497284,2013,DEN,Offense
1974,2013,KC,Defense
2495276,2013,ATL,Defense
2530763,2013,ATL,Offense
2539960,2013,SF,Defense
497224,2013,BAL,Offense
497172,2013,SF,Offense
2539256,2013,NE,Offense
2537933,2013,NYG,Offense
218,2013,SF,Defense
2507716,2013,TB,Offense
222,2013,ATL,Offense
2507373,2013,NYJ,Defense
2540232,2013,IND,Offense
2495461,2013,BAL,Offense
497226,2013,ARI,Offense
2508044,2013,NYJ,Offense
2495832,2013,BAL,Defense
2535708,2013,DAL,Offense
496780,2013,CIN,Defense
2507498,2013,SD,Offense
2495597,2013,DAL,Defense
497286,2013,BUF,Offense
2535132,2013,NE,Defense
238498,2013,NE,Offense
2539938,2013,TEN,Defense
2532834,2013,MIA,Offense
2540148,2013,CIN,Offense
2540153,2013,BAL,Defense
79844,2013,MIA,Defense
2539217,2013,ARI,Offense
2532835,2013,MIN,Offense
2540158,2013,PHI,Offense
2540211,2013,DAL,Offense
2506919,2013,NO,Offense
2540283,2013,JAX,Defense
2495479,2013,DET,Defense
2495835,2013,KC,Offense
2539327,2013,DET,Offense
71299,2013,CHI,Offense
1072,2013,GB,Offense
2539213,2013,KC,Offense
2506106,2013,ARI,Offense
2506581,2013,TEN,Offense
382,2013,BAL,Offense
2532838,2013,IND,Offense
754,2013,KC,Defense
2505785,2013,SD,Offense
2532841,2013,ARI,Offense
2540150,2013,MIN,Defense
2540166,2013,SD,Offense
367,2013,GB,Offense
367,2013,LV,Offense
2532842,2013,PHI,Offense
2534244,2013,MIN,Offense
497288,2013,LV,Offense
927,2013,JAX,Offense
234,2013,CHI,Offense
79555,2013,HOU,Offense
2495281,2013,TB,Defense
81821,2013,PIT,Offense
2539651,2013,CLE,Offense
2541707,2013,MIA,Defense
2539326,2013,GB,Offense
2495151,2013,DEN,Offense
2540161,2013,DAL,Offense
2514414,2013,IND,Defense
2505016,2013,SD,Defense
2530765,2013,MIA,Defense
2495283,2013,MIN,Offense
2495441,2013,JAX,Offense
2499275,2013,SD,Defense
496782,2013,NO,Defense
2346,2013,WAS,Offense
71311,2013,HOU,Offense
2541777,2013,PIT,Defense
2505299,2013,SD,Offense
2495284,2013,NYJ,Offense
2507220,2013,PIT,Defense
497176,2013,MIN,Offense
2533449,2013,WAS,Offense
2540176,2013,TB,Defense
758,2013,SEA,Offense
81288,2013,MIA,Offense
1332,2013,CIN,Defense
2508111,2013,PIT,Offense
2495153,2013,SD,Defense
2539663,2013,MIA,Offense
2533062,2013,BUF,Defense
2507166,2013,CAR,Offense
