2543493,2014,0,1,19,SD
2505552,2016,0,1,38,MIN
2505552,2015,0,3,62,MIN
2505552,2014,0,1,72,CIN
2505552,2013,0,2,52,CIN
2532794,2014,0,1,106,MIN
2506154,2013,0,1,16,NO
2553897,2016,0,1,78,CHI
2553897,2015,0,1,25,CHI
237680,2014,1,2,57,IND
237680,2013,0,1,23,IND
2555161,2016,1,1,69,GB
2541688,2015,1,1,18,SEA
2541688,2014,1,1,35,SEA
2539219,2014,0,1,57,TEN
2543483,2015,6.5,1,54,PIT
2555569,2016,0,1,25,SD
2555162,2016,0,3,108,ATL
80680,2016,1,2,33,BAL
80680,2015,1,1,52,ARI
80680,2014,1,3,53,ARI
80680,2013,0,1,65,ARI
2508083,2013,1,1,23,ARI
2532948,2015,1.5,2,66,MIN
2532948,2014,3,5,92,MIN
2532948,2013,0,2,58,MIN
80636,2014,0,1,61,PHI
80636,2013,0,2,70,PHI
2552570,2016,0,1,31,SD
2552448,2016,0,3,50,MIN
2543711,2016,1,2,118,JAX
2543711,2015,2.5,1,128,JAX
2543711,2014,2,1,104,JAX
2543469,2015,0,2,69,NYJ
2539943,2016,2,3,66,ARI
2539943,2014,1,2,73,HOU
2539943,2013,0,1,71,HOU
71383,2014,0,1,16,JAX
79527,2015,0,1,27,NO
2554352,2016,0,2,14,SD
2543681,2015,0,2,55,CHI
2543681,2014,0,4,64,CHI
79897,2016,0,3,33,IND
79897,2015,0,1,50,IND
79897,2013,0,4,54,IND
2552261,2015,0,1,54,HOU
2532789,2016,1,2,118,LA
2532789,2013,2,2,88,TB
2550312,2014,1.5,1,17,NYG
2555315,2016,0,1,28,DET
2541958,2016,0,1,50,SD
2506789,2016,0,1,36,CLE
2506789,2015,0,1,69,CLE
2506789,2014,0,3,70,GB
2506789,2013,2.5,3,83,GB
2530790,2016,0,1,12,SEA
2552297,2016,2.5,1,16,NYJ
496959,2013,3,2,75,ARI
2552276,2016,4.5,1,38,WAS
2532798,2015,1,1,25,PIT
2532798,2014,0,1,42,PHI
2532798,2013,0,6,47,PHI
2532828,2016,5,1,87,TB
2532828,2015,3,3,147,TB
2532828,2013,7,5,145,TB
2506931,2014,5.5,1,41,BUF
2507430,2013,2,1,62,NE
2505940,2015,0,1,5,CHI
2539262,2014,0,4,50,TB
2539262,2013,0,3,55,TB
2543474,2015,0,1,20,CIN
2506879,2014,2,2,31,BAL
2556587,2016,0,2,44,CHI
2550196,2015,3,1,24,GB
496733,2016,0,3,48,CLE
496733,2014,0,3,73,CLE
496733,2013,0,4,54,CLE
2530794,2016,0,1,61,KC
2530794,2015,5,3,78,KC
2530794,2014,1,1,94,KC
2530794,2013,1,2,17,KC
2552568,2016,0,1,88,DAL
2535693,2016,0,1,22,DET
1363,2013,4,2,112,MIN
2532961,2015,0,2,109,DEN
2532961,2013,2,3,129,DEN
2555555,2016,0,1,11,KC
2543712,2016,0,1,5,PHI
494275,2013,0,1,5,MIN
2532989,2015,3.5,1,37,MIA
2532989,2014,3,1,26,MIA
2540219,2016,0,1,49,DAL
2540219,2015,0,1,53,DAL
2540219,2014,0,3,74,DAL
2506600,2013,1,4,19,MIA
238466,2016,0,2,38,TEN
238466,2015,0,1,39,MIA
238466,2014,0,3,25,PIT
238466,2013,0,1,32,HOU
2539269,2014,0,1,52,BUF
2507784,2013,3.5,1,56,CIN
2495339,2016,0,1,40,TEN
2495339,2015,0.5,1,55,TEN
2495339,2014,0.5,3,65,BUF
2495339,2013,3.5,1,71,BUF
2552299,2015,3,1,36,CLE
2543699,2016,1,1,29,NE
79605,2015,1,2,58,KC
2495310,2016,0,2,53,MIA
2495310,2015,0,2,64,PHI
2495310,2014,0,2,39,SEA
2495310,2013,0,4,28,SEA
2539982,2015,1,1,55,CAR
2533058,2016,2,2,101,CIN
2533058,2015,1,2,74,CIN
2533058,2013,3,1,171,CIN
81879,2016,1,1,73,BAL
81879,2015,0,1,54,BAL
81879,2014,0,1,46,BAL
81879,2013,0,2,74,BAL
2543739,2014,0,1,34,SF
2540013,2016,0,1,106,WAS
2540013,2015,1,1,96,WAS
2532898,2015,1.5,1,102,DEN
2532898,2014,2,1,113,DEN
2539935,2016,0,2,115,MIA
2539935,2015,0,1,43,PHI
2539935,2013,2,4,159,BUF
2507220,2016,1,1,58,PIT
2507220,2015,1,2,58,PIT
2507220,2014,0,3,69,PIT
2507220,2013,1,1,63,PIT
2505949,2014,4,1,40,CAR
2495585,2014,0,1,23,SF
2506937,2013,1,1,100,NYJ
4267,2014,1.5,3,82,TB
2508007,2013,0,1,46,MIN
2533008,2013,1,1,107,NYJ
2532861,2016,0,7,58,SD
2532861,2014,0,3,42,GB
2505221,2013,0,3,22,NYJ
2531177,2016,0,2,56,NO
2531177,2015,0,1,45,TB
2531177,2013,0,1,5,DAL
2354,2016,2,1,57,TEN
2354,2014,2.5,2,94,TEN
2354,2013,1.5,1,84,DEN
80431,2015,6.5,1,66,GB
80431,2014,11,1,61,GB
2552316,2016,0,1,28,WAS
2555394,2016,1,1,88,CAR
2543799,2015,0,2,44,PIT
2543874,2016,1,2,48,HOU
2543874,2015,0,4,36,HOU
2495613,2016,1,1,87,BUF
2495613,2015,1,2,127,BUF
2495613,2014,0,2,84,BUF
2495613,2013,1,4,74,BAL
2532838,2015,0,1,2,IND
494287,2016,0,1,83,NE
494287,2015,1,1,64,NE
494287,2014,0,2,68,NE
494287,2013,0,1,69,NE
2552321,2015,1,1,112,NO
2552296,2015,1,1,25,SD
208,2014,0,2,58,CAR
208,2013,0,2,14,ARI
2532966,2016,4.5,1,167,SEA
2532966,2013,5,2,120,SEA
2508107,2015,1,3,54,BAL
2508107,2014,0,1,28,BAL
2508107,2013,0,2,58,BAL
2495218,2014,3,1,41,HOU
494254,2016,0,1,55,PHI
494254,2015,0,2,57,PHI
494254,2013,2,3,47,MIA
496865,2013,0,1,23,SD
2543597,2016,2,1,104,TEN
2543597,2015,3.5,1,102,TEN
2506056,2014,1,1,21,CIN
2534822,2015,0,1,40,PIT
2506088,2015,4,1,80,PIT
2506088,2013,0,1,34,PIT
2506088,2013,0,1,9,DAL
2552259,2016,0,1,56,CIN
2540199,2014,0,1,13,SEA
2552391,2015,2,1,65,SF
2539325,2014,1.5,1,21,GB
2507869,2014,0,2,18,DET
2507869,2013,0,3,30,IND
2495490,2013,10.5,1,63,NYJ
2532976,2014,0,1,31,CLE
2532890,2013,4,3,106,PHI
2532431,2016,1,1,115,NO
2532431,2015,0,1,59,CLE
2532431,2014,0,2,99,CLE
2532431,2013,3,1,85,CLE
2495869,2013,0,4,57,CHI
79848,2016,1,3,72,PHI
79848,2015,0,2,109,PHI
79848,2014,0,3,80,PHI
79848,2013,2.5,2,68,NO
2556456,2016,0,1,46,NYG
496961,2013,2,1,42,TB
2540291,2013,0,1,41,DEN
494277,2014,0,2,84,HOU
494277,2013,0,1,56,KC
2507982,2014,0,1,24,IND
2507982,2013,0,1,12,IND
2533059,2016,0,1,26,DAL
2533059,2014,0,1,7,DAL
2533059,2013,0,1,26,DAL
2507783,2016,0,2,40,LV
2507783,2015,0,2,45,KC
2507783,2014,0,1,50,KC
2507783,2013,0,2,47,KC
2535609,2016,0,1,81,SEA
2535609,2015,1,1,55,SEA
2495343,2016,1,1,47,NYJ
2495343,2015,0,1,56,NYJ
2495343,2014,0,4,67,CLE
2495343,2013,1,1,65,CLE
2543775,2014,1,1,23,ATL
2495199,2013,0,1,55,TEN
2552689,2015,0,2,68,BUF
2552488,2016,0,6,45,KC
2552488,2015,0,8,60,KC
2539290,2015,1,2,43,CLE
2507119,2013,5.5,1,112,LV
2543855,2016,0,1,10,CAR
2543855,2014,0,1,33,CAR
71365,2014,2.5,1,151,DET
71365,2013,0,6,119,DET
4365,2016,0,1,61,DAL
4365,2013,0,3,71,DAL
2543656,2015,0,1,21,PHI
80668,2015,1,2,55,MIN
80668,2014,0,2,61,MIN
80668,2013,3.5,2,74,CAR
1037896,2013,2,1,24,SD
280,2016,0,1,60,SD
280,2015,1,4,76,IND
280,2014,1,2,79,ATL
2541756,2016,0,1,24,LV
1037374,2015,0,3,39,GB
1037374,2014,0,2,40,GB
1037374,2013,0,4,61,GB
2506881,2016,0,1,41,MIN
2506881,2015,2.5,1,68,MIN
